name,viewers,date,network ,duration,seasons,number_of_episodes,country_of_origin,original_language
M*A*S*H,105900000,1983/02/28,cbs,120,11,251,us,english
Cheers,84400000,1993/05/20,nbc,98,11,275,us,english
Seinfeld ,76300000,1998/05/14,nbc,75,9,180,us,english
Friends,65900000,2004/05/06,nbc,22,10,236,us,english
"Magnum, P.I.",50700000,1988/05/01,cbs,48,8,162,us,english 
The Cosby Show ,44400000,1992/04/30,nbc,21,8,202,us,english
All In The Family ,40200000,1979/04/08,cbs,25,9,205,us,english
Family Ties ,36300000,1989/05/14,nbc,25,7,168,us,english 
Home Improvement ,35500000,1999/05/25,abc,22,8,204,us,english
Fraiser,33700000,2004/05/13,nbc,23,11,264,us,english
Dallas ,33300000,1991/05/03,cbs,120,14,357,us,english
Everybody Loves Raymond,32900000,2005/05/16,cbs,22,9,210,us ,english
Star Trek: The Next Generation,31000000,1994/05/23,nbc,45,7,178,us,english
Gunsmoke,30900000,1975/03/31,cbs,50,20,635,us,english 
Happy Days ,30500000,1984/09/24,abc,23,11,255,us,english
The Golden Girls ,27200000,1992/05/09,nbc,60,7,180,us,english
Full House,24300000,1995/05/23,abc,22,8,192,us ,english
St. Elsewhere,22500000,1988/05/25,nbc,45,6,137,us ,english
MacGyver,22300000,1992/05/21,abc,47,7,139,us ,english
L.A. Law,22100000,1994/05/19,nbc,45,8,171,us,english
