creator,show ,gender ,birth_place
larry gelbart,M*A*S*H,male,"chicago, il"
james burrows,Cheers,male,"manhattan, ny"
glen charles,Cheers,male,"henderson, nv"
les charles,Cheers,male,"henderson, nv"
larry david,Seinfeld,male,"brooklyn, ny"
jerry seinfeld,Seinfeld ,male,"brooklyn, ny"
david crane,Friends,male,"philadelphia, pa"
marta kauffman,Friends,male,"philadelphia, pa"
donald bellisario,"Magnum, P.I.",male,"cokeburg, pa"
glen larson,"Magnum, P.I.",male,"long beach, ca"
ed weinberger,The Cosby Show ,male,pa
michael leeson ,The Cosby Show ,male ,
bill cosby,The Cosby Show,male,"philadelphia, pa"
norman leer,All In The Family,male ,"new haven, ct"
gary david goldberg,Family Ties,male,"brooklyn, ny"
carmen finestra,Home Improvement ,male,
david mcfadzean,Home Improvement,male,
matt williams,Home Improvement,male,"evansville, in"
david angell,Fraiser,male ,"providence, ri "
peter casey,Fraiser,male,
david lee,Fraiser,male ,"claremont, ca"
david jacobs,Dallas,male,"baltimore, md"
philip rosenthal ,Everybody Loves Raymond,male,"queens, ny"
gene roddenberry,Star Trek: The Next Generation,male,"el paso, tx"
norman macdonnell,Gunsmoke,male,"pasaden, ca"
garry mashall,Happy Days,male ,"bronx, ny"
susan harris ,Golden Girls,female ,"mount vernon, ny"
jeff franklin,Full House,male ,ca
joshua brand ,St. Elsewhere,male ,
john falsey ,St. Elsewhere,male ,"new haven, ct"
lee david zlotoff,MacGyver,male,"new york city, ny "
steven bochco,L.A. Law,male,"new york city, ny"
terry fisher,L.A. Law,female ,"chicago, il"
